Sample,t,y,Type,Dope
120,0,0.04,LindeA,Pure
120,10,0.045,LindeA,Pure
120,20,0.065,LindeA,Pure
120,30,0.09,LindeA,Pure
120,40,0.135,LindeA,Pure
120,50,0.2,LindeA,Pure
120,60,0.28,LindeA,Pure
120,70,0.43,LindeA,Pure
120,80,0.57,LindeA,Pure
120,90,0.68,LindeA,Pure
120,100,0.75,LindeA,Pure
120,110,0.82,LindeA,Pure
120,120,0.885,LindeA,Pure
120,150,0.94,LindeA,Pure
120,180,0.96,LindeA,Pure
65,20,0.05,LindeA,Y2O3
65,30,0.11,LindeA,Y2O3
65,40,0.185,LindeA,Y2O3
65,50,0.31,LindeA,Y2O3
65,55,0.375,LindeA,Y2O3
65,60,0.445,LindeA,Y2O3
65,65,0.52,LindeA,Y2O3
65,70,0.63,LindeA,Y2O3
65,80,0.8,LindeA,Y2O3
65,90,0.92,LindeA,Y2O3
65,100,0.97,LindeA,Y2O3
65,110,0.98,LindeA,Y2O3
65,120,0.99,LindeA,Y2O3
65,150,0.999,LindeA,Y2O3
70,0,0.175,LindeA,SnO2
70,10,0.265,LindeA,SnO2
70,20,0.4,LindeA,SnO2
70,25,0.495,LindeA,SnO2
70,30,0.62,LindeA,SnO2
70,40,0.79,LindeA,SnO2
70,50,0.895,LindeA,SnO2
70,60,0.95,LindeA,SnO2
70,70,0.955,LindeA,SnO2
70,80,0.97,LindeA,SnO2
70,90,0.98,LindeA,SnO2
70,100,0.99,LindeA,SnO2
70,110,0.999,LindeA,SnO2
70,120,0.999,LindeA,SnO2
84,0,0.045,Cera,SnO2
84,20,0.17,Cera,SnO2
84,30,0.24,Cera,SnO2
84,40,0.37,Cera,SnO2
84,45,0.48,Cera,SnO2
84,50,0.525,Cera,SnO2
84,55,0.6,Cera,SnO2
84,60,0.725,Cera,SnO2
84,70,0.86,Cera,SnO2
84,80,0.965,Cera,SnO2
84,120,0.99,Cera,SnO2
84,150,0.999,Cera,SnO2
80,25,0.04,Cera,Y2O3
80,30,0.055,Cera,Y2O3
80,40,0.11,Cera,Y2O3
80,50,0.19,Cera,Y2O3
80,60,0.325,Cera,Y2O3
80,64,0.41,Cera,Y2O3
80,66,0.45,Cera,Y2O3
80,70,0.525,Cera,Y2O3
80,75,0.6,Cera,Y2O3
80,80,0.7,Cera,Y2O3
80,90,0.87,Cera,Y2O3
80,100,0.94,Cera,Y2O3
80,110,0.96,Cera,Y2O3
80,120,0.98,Cera,Y2O3
80,150,0.999,Cera,Y2O3
127,15,0.04,Cera,Pure
127,20,0.07,Cera,Pure
127,30,0.14,Cera,Pure
127,40,0.225,Cera,Pure
127,60,0.395,Cera,Pure
127,65,0.45,Cera,Pure
127,70,0.525,Cera,Pure
127,80,0.7,Cera,Pure
127,90,0.82,Cera,Pure
127,100,0.91,Cera,Pure
127,110,0.955,Cera,Pure
127,120,0.975,Cera,Pure
127,130,0.98,Cera,Pure
127,140,0.99,Cera,Pure
127,150,1,Cera,Pure
